Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,,Subvertical Industry,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code 
north america,usa,south-eastern,alabama,accomplice,2015,private equity firm,www.accomplice.co,"25 first street, suite 303 cambridge, ma 02141
170 clara street ,san francisco, ca 94107???

",2141,https://www.linkedin.com/company/accomplice-vc/,(+1) 617-588-2600,hello@accomplice.co,,"cybersecurity,esports,data analytics,smb class software,emerging hardware platforms,marketplaces",startups,785000,150000000,405000000,180,32.31823,-86.902298,al
north america,usa,south,alabama,bonaventure capital,1998,venture capital,http://www.bonaventurecapital.net/,"820 shades creek parkway
 
 suite 1200
 
 birmingham, al 35209
 
 united states",35209,NaN,(+1)205-292-6000,info@bonaventurecapital.net,,"internet services,internet advertising,networking infrastructure,financial services,energy services,internet software applications,",early stage,4400000,33000000,83000000,8,32.31823,-86.902298,al
north america,united states of america,south,argentina,kaszek ventures,2011,venture capital,http://www.kaszek.com/,NaN,NaN,http://www.linkedin.com/company/2892335,(+1)551-140-4043 ,"
info@kaszek.com ",,NaN,"seed 
early stage venture
late stage venture",1700000,50000000,165200000,68,-34.603722,-58.381592,ar
north america,usa,west,arizona,beechtree capital,1994,private,http://www.beechtreecapital.com/,34522 north  scottsddale road suite arizona 85266,85266,https://in.linkedin.com/company/beechtree-capital-partners,(+1)917-656-1066,NaN,,"entertainment,sports,ecological,ports,medicine",early stage,4400000,41600000,83500000,4,34.048927,-111.093731,az
north america,usa,west,arizona,"diamond state ventures, l.p.",1999,venture capital,http://new.diamondstateventures.com/,"diamond state ventures
 suite 400
 little rock, ar 72201
 united states",72201,NaN,(+1)501-374-9247,jhays@dsvlp.com,,"manufacturing,business services,media,consumer products and services,education,healthcare services,technologies industries",early stage,4000000,15000000,26000000,4,34.048928,-111.093732,az
north america,usa,west,arizona,pacific partners,,private equity firm,http://www.pacificpartnerslp.com/,"7150 east camelback road
 suite 444
 scottsdale, az 85251
 
 united states",85251,NaN,(+1)480-477-8125,NaN,,financial services,early stage,1500000,10100000,19000000,3,?34.048929,?-111.093733,az
north america,united states of america,west,arizona,sustainable conversion ventures,2014,venture capital,http://www.scvco.com/,"9532 east riggs road

sun lakes, az ",85248,NaN,(+1)480-895-4303,jason@scvco.com ,,NaN,NaN,12000000,12000000,12000000,1,34.04893,-111.093734,az
north america,usa,west,arizona,tallwave capital,2009,private equity firm,http://tallwavecapital.com/,"6263 north scottsdale road
 suite 180
 scottsdale, az 85250
 united states",85250,https://www.linkedin.com/company/3653482?trk=tyah&trkinfo=clickedvertical%3acompany%2cclickedentityid%3a3653482%2cidx%3a2-1-2%2ctarid%3a1481324241330%2ctas%3atallwave%20capital,(+1) 602-840-0400,info@tallwavecapital.com,,"saas,ecommerce,b2b software,software,advertising,marketing and digital media",early stage,1000000,10000000,53000000,21,34.048931,-111.093735,az
north america,usa,southern,arkansas,flatiron investors,2015,individual,www.flatironinvestors.com/,"43-45 east 19th street, floor 8 new york, ny 10003",10003,NaN,NaN,hello@flatironinvestors.com,,various,early stage,200000,7000000,235000000,10,34.746483,-92.289597,ar
north america,united states of america,northeast,massachusetts,bolt,2013,venture capital,http://bolt.io/,NaN,NaN,"https://www.linkedin.com/company/bolt
",NaN,"
info@bolt.io ",,"finance,financial services,venture capital","early stage venture
seed ",500000,3500000,4000000,58,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,cue ball capital,2008,venture capital,http://www.cueball.com/,"cue ball capital
1 faneuil hall square
7th floor, boston, ma ",2109,http://www.linkedin.com/company/1489213,(+1)617-542-0033 ,"
ideas@cueball.com ",,",analytics,big data,cloud data,services,digital media,enterprise software,information services,saas ",NaN,800000,126000000,380400000,33,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,data point capital,2012,venture capital,datapointcapital.com,"one marina park drive
10th floor
boston, ma ",2210,NaN,(+1)617-874-5152,"
info@datapointcapital.com ",,"cloud infrastructure,ecommerce,venture capital ","early stage venture 
seed ",322000,24000000,106722000,18,42.361145,-71.057083,ma
north america,united states of america,northeast,massachusetts,indicator ventures,2013,venture capital,http://www.indicatorventures.com/,"373 washington street, 10th floor, boston, ma ",2108,https://www.linkedin.com/company-beta/5219714,NaN,NaN,,"finance,financial services,venture capital","early stage venture
seed ",120000,9000000,69985000,32,42.361145,-71.057083,ma
