Continent,Country,Region,State,Name of VC,Year of Establishment,Type of Investor,Website,Postal Address,Pincode,LinkedIn Details,Phone Details,Email Address,Sectors dealt with,Investment Stage,Investment Amount Minimum,Investment Amount Maximum,Previously Invested Total Amount,Total number of companies funded so far,Latitude,Longitude,Code ,
North America,USA,South-Eastern,Alabama,Accomplice,2015,Private Equity Firm,www.accomplice.co,"25 FIRST STREET, SUITE 303 CAMBRIDGE, MA 02141
170 CLARA STREET ,SAN FRANCISCO, CA 94107‍‍‍

",2141,https://www.linkedin.com/company/accomplice-vc/,(+1) 617-588-2600,hello@accomplice.co,"cybersecurity,
 eSports
, data analytics, 
SMB class software,
 emerging hardware platforms,
marketplaces",Startups,785K,150M,405M,180,32.31823,-86.902298,AL,
North America,USA,South,Alabama,Bonaventure Capital,1998,Venture Capital,http://www.bonaventurecapital.net/,"820 Shades Creek Parkway
 
 Suite 1200
 
 Birmingham, AL 35209
 
 United States",35209,,(+1)205-292-6000,info@bonaventurecapital.net,"internet services,
  internet advertising, 
 networking infrastructure,
  financial services, 
 energy services,
  internet software applications,",Early Stage,4.4M,33M,83M,8,32.31823,-86.902298,AL,
North America,United States of America,South,Argentina,Kaszek Ventures,2011,Venture Capital,http://www.kaszek.com/,,,http://www.linkedin.com/company/2892335,(+1)551-140-4043 ,"
info@kaszek.com ",,"Seed 
Early Stage Venture
Late Stage Venture",1.7M,50M,165.2M,68,-34.603722,-58.381592,AR,
North America,USA,West,Arizona,Beechtree Capital,1994,private,http://www.beechtreecapital.com/,34522 North  scottsddale road suite Arizona 85266,85266,https://in.linkedin.com/company/beechtree-capital-partners,(+1)917-656-1066,,"entertainment 
,sports,
ecological,
ports,
medicine",Early Stage,4.4M,41.6M,83.5M,4,34.048927,-111.093731,AZ,
North America,USA,West,Arizona,"Diamond State Ventures, L.P.",1999,Venture Capital,http://new.diamondstateventures.com/,"Diamond State Ventures
 Suite 400
 Little Rock, AR 72201
 United States",72201,,(+1)501-374-9247,jhays@dsvlp.com,"manufacturing, 
 business services,
  media,
  consumer products and services,
  education
 , healthcare services
  technologies industries.",Early Stage,4M,15M,26M,4,34.048928,-111.093732,AZ,
North America,USA,West,Arizona,Pacific Partners,,Private Equity Firm,http://www.pacificpartnerslp.com/,"7150 East Camelback Road
 Suite 444
 Scottsdale, AZ 85251
 
 United States",85251,,(+1)480-477-8125,,Financial services,Early Stage,1.5M,10.1M,19M,3,‎34.048929,‎-111.093733,AZ,
North America,United States of America,West,Arizona,Sustainable Conversion Ventures,2014,Venture Capital,http://www.scvco.com/,"9532 East Riggs Road

Sun Lakes, AZ ",85248,,(+1)480-895-4303,jason@scvco.com ,,,12M,12M,12M,1,34.04893,-111.093734,AZ,
North America,USA,West,Arizona,Tallwave Capital,2009,Private Equity Firm,http://tallwavecapital.com/,"6263 North Scottsdale Road
 Suite 180
 Scottsdale, AZ 85250
 United States",85250,https://www.linkedin.com/company/3653482?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A3653482%2Cidx%3A2-1-2%2CtarId%3A1481324241330%2Ctas%3Atallwave%20capital,(+1) 602-840-0400,info@tallwavecapital.com,"SaaS 
 e-commerce
 B2B software 
 software 
 advertising 
 marketing and digital media",Early Stage,1M,10M,53M,21,34.048931,-111.093735,AZ,
North America,USA,Southern,Arkansas,Flatiron Investors,2015,Individual,www.flatironinvestors.com/,"43-45 East 19th Street, Floor 8 New York, NY 10003",10003,,,hello@flatironinvestors.com,Various,Early Stage,200K,7M,235M,10,34.746483,-92.289597,AR,
North America,United States of America,Northeast,Boston,Bolt,2013,Venture Capital,http://bolt.io/,,,"https://www.linkedin.com/company/bolt
",,"
info@bolt.io ","Finance
Financial Services
Venture Capital","Early Stage Venture
Seed ",500K,3.5M,4M,58,42.361145,-71.057083,MA,
